feature,gain_importance
tfidf__nd,0
tfidf__nd test,0
tfidf__ne,0
tfidf__necklac,0
tfidf__net,0
tfidf__new,0
tfidf__new delhi,0
tfidf__news,0
tfidf__newspap,0
tfidf__newspap ocr,0
tfidf__night,0
tfidf__night ocr,0
tfidf__no,0
tfidf__note,0
tfidf__nt,0
tfidf__oa,0
tfidf__ocean,0
tfidf__ocean ocr,0
tfidf__ocr,0
tfidf__ocr ad,0
tfidf__ocr aia,0
tfidf__ocr aj,0
tfidf__ocr ajda,0
tfidf__ocr bangladesh,0
tfidf__ocr btcl,0
tfidf__ocr cat,0
tfidf__ocr dhaka,0
tfidf__ocr io,0
tfidf__ocr lelta,0
tfidf__ocr mdad,0
tfidf__ocr ollla,0
tfidf__ocr oo,0
tfidf__ocr polic,0
tfidf__ocr ta,0
tfidf__ocr unicef,0
tfidf__ocr world,0
tfidf__od,0
tfidf__offic,0
tfidf__offic ocr,0
tfidf__oil,0
tfidf__ollla,0
tfidf__ollla si,0
tfidf__om,0
tfidf__oo,0
tfidf__orang,0
tfidf__organ,0
tfidf__organ ocr,0
tfidf__ot,0
tfidf__outfit,0
tfidf__outsid,0
tfidf__paint,0
tfidf__pair,0
tfidf__pakistan,0
tfidf__paper,0
tfidf__paper ocr,0
tfidf__park,0
tfidf__parliament,0
tfidf__parti,0
tfidf__parti leader,0
tfidf__past,0
tfidf__pay,0
tfidf__pc,0
tfidf__pen,0
tfidf__pen ocr,0
tfidf__peopl,0
tfidf__peopl gather,0
tfidf__peopl hold,0
tfidf__peopl ocr,0
tfidf__peopl ride,0
tfidf__peopl sit,0
tfidf__peopl stand,0
tfidf__peopl walk,0
tfidf__peopl wear,0
tfidf__person,0
tfidf__person hand,0
tfidf__person hold,0
tfidf__person person,0
tfidf__petrol,0
tfidf__phone,0
tfidf__phone ocr,0
tfidf__photo,0
tfidf__photo ocr,0
tfidf__pi,0
tfidf__pictur,0
tfidf__pictur man,0
tfidf__pictur ocr,0
tfidf__piec,0
tfidf__pile,0
tfidf__pile money,0
tfidf__pillow,0
tfidf__pink,0
tfidf__plant,0
tfidf__plant ocr,0
tfidf__plate,0
tfidf__plate food,0
tfidf__platform,0
tfidf__platform ocr,0
tfidf__play,0
tfidf__play game,0
tfidf__player,0
tfidf__player celebr,0
tfidf__plc,0
tfidf__podium,0
tfidf__podium crowd,0
tfidf__podium flag,0
tfidf__podium microphon,0
tfidf__podium ocr,0
tfidf__point,0
tfidf__polic,0
tfidf__polic offic,0
tfidf__polic polic,0
tfidf__polic uniform,0
tfidf__poll,0
tfidf__pose,0
tfidf__pose photo,0
tfidf__pose pictur,0
tfidf__post,0
tfidf__poster,0
tfidf__poster ocr,0
tfidf__power,0
tfidf__premier,0
tfidf__prepar,0
tfidf__presid,0
tfidf__press,0
tfidf__press confer,0
tfidf__price,0
tfidf__price india,0
tfidf__prime,0
tfidf__prime india,0
tfidf__prime pakistan,0
tfidf__protest,0
tfidf__put,0
tfidf__ra,0
tfidf__rai,0
tfidf__rain,0
tfidf__ralli,0
tfidf__ran,0
tfidf__rc,0
tfidf__rd,0
tfidf__red,0
tfidf__red background,0
tfidf__red carpet,0
tfidf__red dress,0
tfidf__red sari,0
tfidf__red shirt,0
tfidf__report,0
tfidf__report ocr,0
tfidf__ri,0
tfidf__rice,0
tfidf__rick,0
tfidf__ride,0
tfidf__ride motorcycl,0
tfidf__ride rick,0
tfidf__rig,0
tfidf__rise,0
tfidf__river,0
tfidf__rl,0
tfidf__rn,0
tfidf__ro,0
tfidf__road,0
tfidf__road ocr,0
tfidf__robe,0
tfidf__roll,0
tfidf__room,0
tfidf__room ocr,0
tfidf__rot,0
tfidf__row,0
tfidf__rr,0
tfidf__rri,0
tfidf__rs,0
tfidf__rt,0
tfidf__rta,0
tfidf__ru,0
tfidf__run,0
tfidf__sa,0
tfidf__safeti,0
tfidf__salad,0
tfidf__sar,0
tfidf__sar ocr,0
tfidf__sari,0
tfidf__sari ocr,0
tfidf__sari sar,0
tfidf__sari sari,0
tfidf__say,0
tfidf__say no,0
tfidf__scarf,0
tfidf__scarf hold,0
tfidf__scarf ocr,0
tfidf__school,0
tfidf__school ocr,0
tfidf__school uniform,0
tfidf__scienc,0
tfidf__screen,0
tfidf__screen ocr,0
tfidf__scrub,0
tfidf__scrub mask,0
tfidf__seen,0
tfidf__sen,0
tfidf__servic,0
tfidf__shah,0
tfidf__shake,0
tfidf__shake hand,0
tfidf__sheikh,0
tfidf__sheikh ocr,0
tfidf__sheikh sheikh,0
tfidf__ship,0
tfidf__ship ocean,0
tfidf__shirt,0
tfidf__shirt black,0
tfidf__shirt glass,0
tfidf__shirt hold,0
tfidf__shirt ocr,0
tfidf__shirt red,0
tfidf__shirt stand,0
tfidf__shirt sunglass,0
tfidf__shop,0
tfidf__shown,0
tfidf__shrian,0
tfidf__shrian singh,0
tfidf__si,0
tfidf__si dlgda,0
tfidf__sign,0
tfidf__sign crowd,0
tfidf__sign ocr,0
tfidf__sign say,0
tfidf__sing,0
tfidf__sing microphon,0
tfidf__singh,0
tfidf__singh ocr,0
tfidf__singh singh,0
tfidf__ala,0
tfidf__sit bench,0
tfidf__sit chair,0
tfidf__sit couch,0
tfidf__sit desk,0
tfidf__sit floor,0
tfidf__sit ground,0
tfidf__sit hospit,0
tfidf__sit room,0
tfidf__af,0
tfidf__site,0
tfidf__site ocr,0
tfidf__sky,0
tfidf__sky ocr,0
tfidf__sleep,0
tfidf__small,0
tfidf__smile,0
tfidf__smoke,0
tfidf__soccer,0
tfidf__soccer field,0
tfidf__soccer player,0
tfidf__soldier,0
tfidf__sp,0
tfidf__speak,0
tfidf__speak media,0
tfidf__speak microphon,0
tfidf__speak podium,0
tfidf__speech,0
tfidf__speech ocr,0
tfidf__sport,0
tfidf__sprallgka,0
tfidf__sprallgka aa,0
tfidf__sprallgka alaaz,0
tfidf__sr,0
tfidf__ss,0
tfidf__ssc,0
tfidf__st,0
tfidf__stack,0
tfidf__stadium,0
tfidf__stadium ocr,0
tfidf__stage,0
tfidf__stage ocr,0
tfidf__aa,0
tfidf__stand bank,0
tfidf__stand banner,0
tfidf__stand blue,0
tfidf__stand bridg,0
tfidf__stand build,0
tfidf__stand citi,0
tfidf__stand construct,0
tfidf__stand crowd,0
tfidf__stand field,0
tfidf__stand larg,0
tfidf__stand line,0
tfidf__stand man,0
tfidf__stand market,0
tfidf__stand men,0
tfidf__stand microphon,0
tfidf__stand outsid,0
tfidf__stand peopl,0
tfidf__stand podium,0
tfidf__stand red,0
tfidf__stand road,0
tfidf__stand room,0
tfidf__stand screen,0
tfidf__stand sign,0
tfidf__stand stadium,0
tfidf__stand stage,0
tfidf__stand street,0
tfidf__stand tabl,0
tfidf__stand train,0
tfidf__stand tree,0
tfidf__stand wall,0
tfidf__state,0
tfidf__station,0
tfidf__station ocr,0
tfidf__statu,0
tfidf__store,0
tfidf__store ocr,0
tfidf__street,0
tfidf__street ocr,0
tfidf__student,0
tfidf__su,0
tfidf__ac,0
tfidf__suit hold,0
tfidf__suit mask,0
tfidf__suit ocr,0
tfidf__suit sit,0
tfidf__suit speak,0
tfidf__suit stand,0
tfidf__suit tie,0
tfidf__sun,0
tfidf__sunglass,0
tfidf__sunglass ocr,0
tfidf__surgic,0
tfidf__surgic mask,0
tfidf__surround,0
tfidf__ta,0
tfidf__taa,0
tfidf__adesh,0
tfidf__tabl book,0
tfidf__tabl flag,0
tfidf__tabl laptop,0
tfidf__tabl microphon,0
tfidf__tabl ocr,0
tfidf__tabl paper,0
tfidf__take,0
tfidf__talk,0
tfidf__talk men,0
tfidf__talk report,0
tfidf__tat,0
tfidf__tc,0
tfidf__tcl,0
tfidf__te,0
tfidf__team,0
tfidf__televis,0
tfidf__televis ocr,0
tfidf__test,0
tfidf__test day,0
tfidf__tf,0
tfidf__th,0
tfidf__ti,0
tfidf__tia,0
tfidf__tie,0
tfidf__tie give,0
tfidf__tie hold,0
tfidf__tie ocr,0
tfidf__tie sit,0
tfidf__tie speak,0
tfidf__tie stand,0
tfidf__tk,0
tfidf__tl,0
tfidf__tm,0
tfidf__tn,0
tfidf__tr,0
tfidf__track,0
tfidf__track ocr,0
tfidf__tradit,0
tfidf__train,0
tfidf__train station,0
tfidf__train track,0
tfidf__tree,0
tfidf__tree ocr,0
tfidf__tri,0
tfidf__trophi,0
tfidf__trophi ocr,0
tfidf__trt,0
tfidf__truck,0
tfidf__trump,0
tfidf__tt,0
tfidf__tta,0
tfidf__ttrt,0
tfidf__ttrt tt,0
tfidf__ttt,0
tfidf__tu,0
tfidf__tube,0
tfidf__tuk,0
tfidf__tuk ocr,0
tfidf__tv,0
tfidf__tv screen,0
tfidf__ua,0
tfidf__ue,0
tfidf__ul,0
tfidf__unicef,0
tfidf__uniform,0
tfidf__uniform hold,0
tfidf__uniform ocr,0
tfidf__uniform stand,0
tfidf__unit,0
tfidf__univers,0
tfidf__upcom,0
tfidf__use,0
tfidf__vest,0
tfidf__vice,0
tfidf__video,0
tfidf__villag,0
tfidf__vs,0
tfidf__vs bangladesh,0
tfidf__wait,0
tfidf__walk,0
tfidf__walk past,0
tfidf__walk street,0
tfidf__wall,0
tfidf__wall ocr,0
tfidf__warehous,0
tfidf__water,0
tfidf__water ocr,0
tfidf__wave,0
tfidf__way,0
tfidf__wear,0
tfidf__wear black,0
tfidf__wear mask,0
tfidf__wear surgic,0
tfidf__welcom,0
tfidf__whatsapp,0
tfidf__whatsawh,0
tfidf__wheelchair,0
tfidf__ad,0
tfidf__white coat,0
tfidf__white dress,0
tfidf__white hat,0
tfidf__white outfit,0
tfidf__white sari,0
tfidf__white shirt,0
tfidf__wi,0
tfidf__wife,0
tfidf__win,0
tfidf__window,0
tfidf__window ocr,0
tfidf__wnoilir,0
tfidf__wnoilir ifa,0
tfidf__woman,0
tfidf__woman black,0
tfidf__woman blue,0
tfidf__woman green,0
tfidf__woman hold,0
tfidf__woman hospit,0
tfidf__woman long,0
tfidf__woman look,0
tfidf__woman pink,0
tfidf__woman red,0
tfidf__woman seen,0
tfidf__woman shake,0
tfidf__woman sit,0
tfidf__woman stand,0
tfidf__woman suit,0
tfidf__woman walk,0
tfidf__woman wear,0
tfidf__woman white,0
